Variable	Definition	Source	Year
buff_ln_maj	Presence of buffered bike lane on major legs  - 1 = yes / 0 = no	SFMTA	2015
buff_ln_min	Presence of buffered bike lane on minor legs  - 1 = yes / 0 = no	SFMTA	2015
barr_conc_bin	Presence of concrete barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_conc_sum	Sum of intersection legs that have a concrete barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_conc_maj	Presence of concrete barrier on major legs  - 1 = yes / 0 = no	SFMTA	2015
barr_conc_min	Presence of concrete barrier on minor legs  - 1 = yes / 0 = no	SFMTA	2015
barr_park_bin	Presence of parking barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_park_sum	Sum of intersection legs that have a parking barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_park_maj	Presence of parking barrier on major legs  - 1 = yes / 0 = no	SFMTA	2015
barr_park_min	Presence of parking barrier on minor legs  - 1 = yes / 0 = no	SFMTA	2015
barr_shp_bin	Presence of safe hit post barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_shp_sum	Sum of intersection legs that have a safe hit post barrier  - 1 = yes / 0 = no	SFMTA	2015
barr_shp_maj	Presence of safe hit post barrier on major legs  - 1 = yes / 0 = no	SFMTA	2015
barr_shp_min	Presence of safe hit post barrier on minor legs  - 1 = yes / 0 = no	SFMTA	2015
green_pnt_bin	Presence of green paint  - 1 = yes / 0 = no	SFMTA	2015
green_pnt_sum	Sum of intersection legs that have a green paint  - 1 = yes / 0 = no	SFMTA	2015
green_pnt_maj	Presence of green paint on major legs  - 1 = yes / 0 = no	SFMTA	2015
green_pnt_min	Presence of green paint on minor legs  - 1 = yes / 0 = no	SFMTA	2015
sharrow_bin	Presence of sharrow  - 1 = yes / 0 = no	SFMTA	2015
sharrow_sum	Sum of intersection legs that have a sharrow  - 1 = yes / 0 = no	SFMTA	2015
sharrow_maj	Presence of sharrow on major legs  - 1 = yes / 0 = no	SFMTA	2015
sharrow_min	Presence of sharrow on minor legs  - 1 = yes / 0 = no	SFMTA	2015
contraflow_bin	Presence of contraflow bike lane  - 1 = yes / 0 = no	SFMTA	2015
contraflow_sum	Sum of intersection legs that have a contraflow bike lane  - 1 = yes / 0 = no	SFMTA	2015
contraflow_maj	Presence of contraflow bike lane on major legs  - 1 = yes / 0 = no	SFMTA	2015
contraflow_min	Presence of contraflow bike lane on minor legs  - 1 = yes / 0 = no	SFMTA	2015
bike_box_bin	Presence of bike box  - 1 = yes / 0 = no	SFMTA	2014
bike_sig_bin	Presence of bike signal  - 1 = yes / 0 = no	SFMTA	2014
crossbike_bin	Presence of bike crossing  - 1 = yes / 0 = no	SFMTA	2014
int_shrow_bin	Presence of intersection sharrow  - 1 = yes / 0 = no	SFMTA	2014
mix_zn_bin	Presence of mixing zone  - 1 = yes / 0 = no	SFMTA	2014
